DATE,PROFITS,INVESTMENT,RECESSION,PROFITS_YOY,INVEST_YOY,P_z,I_z
1957-09-30,51.138,79.339,0.3333333333333333,0.3906633424291872,1.3696704869229803,-0.44692226208450536,-0.47031078842761365
1957-12-31,46.878,71.045,1.0,-12.76077044756676,-7.90718776330287,-1.2612557449165678,-1.2049328629380534
1958-03-31,40.564,66.73,1.0,-25.595216258850286,-14.149341292713036,-2.055961411584803,-1.6992407041812152
1958-06-30,41.276,65.065,0.3333333333333333,-20.98623633683645,-16.48375627350559,-1.770574530418158,-1.8840999237253238
1958-09-30,45.972,71.999,0.0,-10.102076733544518,-9.251440023191627,-1.0966300967556526,-1.3113824126873752
1958-12-31,52.306,80.001,0.0,11.578992277827549,12.606094728693096,0.2458562603579892,0.419486712398444
1959-03-31,55.502,83.166,0.0,36.825756828715114,24.63060092911733,1.8091295912555214,1.3716913760521372
1959-06-30,60.398,89.381,0.0,46.32716348483379,37.37185891032044,2.39745430912518,2.3806546605559453
1959-09-30,54.549,83.606,0.0,18.657008613938906,16.12105723690607,0.6841252572267763,0.6978319215156544
1959-12-31,53.368,86.524,0.0,2.0303598057584304,8.153648079399002,-0.34539266819444414,0.06690338020493418
1960-03-31,58.778,96.476,0.0,5.902490000360339,16.004136305701856,-0.10563133739962625,0.6885731083789074
1960-06-30,54.428,87.096,0.6666666666666666,-9.884433259379454,-2.55647173336615,-1.08315366740486,-0.781216772425117
1960-09-30,52.155,86.377,1.0,-4.3887147335423204,3.3143554290361976,-0.7428601542204684,-0.3163137726373114
1960-12-31,50.05,75.963,1.0,-6.217208814270736,-12.205861957375996,-0.856080049242868,-1.545339158789088
1961-03-31,49.179,78.378,0.6666666666666666,-16.3309401476743,-18.759069613168045,-1.482319757602516,-2.0642789628632143
1961-06-30,52.095,84.108,0.0,-4.286396707576978,-3.4306971617525495,-0.7365246477067802,-0.850445522123363
1961-09-30,55.033,90.917,0.0,5.518167002204977,5.25602880396403,-0.1294285210845249,-0.16255523884959888
1961-12-31,59.311,92.931,0.0,18.50349650349652,22.337190474309864,0.674619825838106,1.1900792504196718
1962-03-31,58.34,98.074,0.0,18.627869619146374,25.129500625175428,0.6823209779752107,1.4111985798710491
1962-06-30,58.026,96.706,0.0,11.384969766772258,14.978361154705855,0.23384243512049574,0.6073433375793378
1962-09-30,59.757,98.16,0.0,8.583940544764035,7.966606905199236,0.06040340799271355,0.05209183822560566
1962-12-31,60.694,94.968,0.0,2.3317765675844315,2.191948865287152,-0.32672901787607034,-0.4051956565752689
1963-03-31,60.428,99.689,0.0,3.579019540623918,1.6467157452535686,-0.2495000457053201,-0.448371942654785
